zipcode,centile,superzip,rank,city,state,adultpop,households,college,income
10506,99.89934,1,31,Bedford,NY,3659,1579,70.31976%,217.8945
60029,99.89828,1,,Golf,IL,234,100,84.61539%,193.0933
95618,99.89806,1,32,Davis,CA,512,207,71.67969%,212.4732
22066,99.89487,1,33,Great Falls,VA,11141,4969,73.95207%,208.2641
78730,99.89091,1,34,Austin,TX,3322,1384,71.22216%,211.7933
90272,99.88544,1,35,Pacific Palisades,CA,16633,6453,70.26995%,211.639
7931,99.88034,1,36,Far Hills,NJ,1865,773,65.79089%,218.836
7046,99.87912,1,37,Mountain Lakes,NJ,2624,1214,76.10518%,200.3596
10028,99.86842,1,38,New York,NY,36366,9188,77.73744%,197.1168
1741,99.85757,1,39,Carlisle,MA,3146,1406,83.4075%,186.1369
6897,99.85355,1,40,Wilton,CT,11515,4858,70.72514%,207.1434
77005,99.84606,1,41,Houston,TX,15746,5882,77.118%,195.4404
10022,99.83436,1,42,New York,NY,26893,6274,71.96296%,203.5842
75225,99.82313,1,43,Dallas,TX,14008,5478,74.97858%,197.7889
92657,99.81815,1,44,Newport Coast,CA,4152,1547,74.0607%,198.9749
28207,99.81531,1,45,Charlotte,NC,6204,2047,73.29143%,199.0939
10021,99.78984,1,46,New York,NY,86540,20928,75.27617%,195.3123
94301,99.76263,1,47,Palo Alto,CA,12646,3721,76.4985%,192.7115
10510,99.75737,1,48,Briarcliff Manor,NY,6431,2629,70.75105%,202.1628
20816,99.75265,1,49,Bethesda,MD,10854,4319,79.94288%,186.1499
20854,99.74097,1,50,Potomac,MD,31674,13537,76.27076%,192.365
10538,99.7291,1,51,Larchmont,NY,11598,4708,70.97775%,200.6251
63124,99.72389,1,52,Saint Louis,MO,7345,2789,65.56841%,209.3141
75205,99.71784,1,53,Dallas,TX,14723,4968,73.00822%,196.4277
98039,99.7132,1,54,Medina,WA,2129,901,72.99201%,196.3597
10583,99.70547,1,55,Scarsdale,NY,26102,10873,70.36626%,200.2341
6853,99.69759,1,56,Norwalk,CT,2599,980,68.91112%,201.5783
6880,99.69196,1,57,Westport,CT,17889,7182,69.48963%,200.2341
7970,99.687,1,,Mount Freedom,NJ,189,86,71.42857%,196.14
95070,99.68106,1,58,Saratoga,CA,21476,8815,67.8618%,201.2985
2481,99.67262,1,59,Wellesley Hills,MA,9273,3866,79.52119%,180.2932
20812,99.67003,1,,Glen Echo,MD,162,62,84.5679%,171.548
20818,99.66962,1,60,Cabin John,MD,1325,530,77.20755%,183.2379
95030,99.66657,1,61,Los Gatos,CA,9795,3460,67.34048%,199.6195
22101,99.65833,1,62,McLean,VA,20232,8190,75.64254%,185.0267
94024,99.64854,1,63,Los Altos,CA,15378,6376,72.12902%,190.6952
20007,99.63944,1,64,Washington,DC,17804,4295,83.07122%,171.5035
19710,99.63454,1,,Montchanin,DE,26,8,30.76923%,261.5213
10280,99.63304,1,65,New York,NY,5422,1613,78.2737%,179.0758
11576,99.62926,1,66,Roslyn,NY,8374,3533,67.16026%,196.4878
20016,99.62091,1,67,Washington,DC,22077,6355,78.66558%,174.9843
7043,99.61266,1,68,Montclair,NJ,7984,3233,73.57215%,183.557
20815,99.60468,1,69,Chevy Chase,MD,21067,7353,78.72027%,174.3135
6870,99.59756,1,70,Old Greenwich,CT,4833,2019,72.04635%,185.5327
2199,99.59599,1,71,Boston,MA,909,184,76.67767%,176.6097
44040,99.59519,1,72,Gates Mills,OH,2055,872,63.9416%,198.4701
8550,99.59162,1,73,Princeton Junction,NJ,10947,4896,73.64575%,181.6819
1773,99.5876,1,74,Lincoln,MA,3659,1489,76.93359%,175.9637
94507,99.58385,1,75,Alamo,CA,10035,4350,63.56751%,198.9461
1770,99.58034,1,76,Sherborn,MA,2728,1233,75.62317%,178.1095
10024,99.5659,1,77,New York,NY,49837,12623,73.927%,180.6685
22124,99.54959,1,78,Oakton,VA,9621,3951,72.80948%,182.0898
94920,99.54424,1,79,Belvedere Tiburon,CA,9915,3669,69.66213%,187.3856
60614,99.52798,1,80,Chicago,IL,49266,10767,78.40093%,172.2109
94506,99.51097,1,81,Danville,CA,12731,5664,65.06951%,195.0508
8558,99.50655,1,82,Skillman,NJ,3355,1443,69.95529%,186.5095
7423,99.50485,1,83,Ho Ho Kus,NJ,2776,1192,68.33574%,189.0633
10804,99.50142,1,84,New Rochelle,NY,9745,4033,70.01539%,186.0231
20817,99.49184,1,85,Bethesda,MD,25142,10177,77.43219%,172.4267
94563,99.48149,1,86,Orinda,CA,12604,5358,74.53983%,175.3439
11030,99.47478,1,87,Manhasset,NY,11864,4789,63.15745%,194.5316
20008,99.46548,1,88,Washington,DC,21998,4687,81.58469%,162.3242
60601,99.4581,1,89,Chicago,IL,4918,1318,71.30948%,179.8721
94123,99.45113,1,90,San Francisco,CA,20475,4020,74.44689%,174.2181
22039,99.44225,1,91,Fairfax Station,VA,11824,5395,68.79229%,183.5988
10546,99.43877,1,92,Millwood,NY,825,349,70.90909%,179.0444
10004,99.43828,1,93,New York,NY,1020,221,75.9804%,170.2587
90049,99.43073,1,94,Los Angeles,CA,26487,7837,70.0268%,180.3769
7945,99.42176,1,95,Mendham,NJ,6166,2565,67.56406%,184.5259
85253,99.41657,1,96,Paradise Valley,AZ,12735,5188,64.68002%,189.4595
28378,99.41306,1,,Rex,NC,27,16,22.22222%,261.5213
90210,99.40857,1,97,Beverly Hills,CA,16357,5773,55.46249%,203.4443
22182,99.3998,1,98,Vienna,VA,15588,6486,72.90223%,173.2949
63005,99.39265,1,99,Chesterfield,MO,10435,4721,66.50695%,183.438
10007,99.38902,1,100,New York,NY,2814,563,56.8941%,199.7137
27706,99.38821,1,,Durham,NC,97,42,65.97938%,184.0526
10504,99.38691,1,101,Armonk,NY,4651,2029,60.65362%,193.1718
20015,99.38238,1,102,Washington,DC,11879,3530,68.40643%,179.7545
60523,99.37699,1,103,Oak Brook,IL,7761,2741,54.59348%,202.6061
77046,99.37475,1,,Houston,TX,423,121,74.23168%,168.7549
6878,99.37325,1,104,Riverside,CT,5044,2087,65.0674%,184.1755
94708,99.36956,1,105,Berkeley,CA,8386,2910,81.57644%,155.6894
66221,99.36631,1,106,Overland Park,KS,3446,1678,72.66396%,171.0249
10005,99.36517,1,107,New York,NY,703,119,74.67994%,167.2303
78746,99.36043,1,108,Austin,TX,16567,6922,75.54174%,165.7291
10580,99.35277,1,109,Rye,NY,11312,4488,68.06047%,178.2036
1776,99.3467,1,110,Sudbury,MA,10824,4836,71.88655%,170.5097
48302,99.34042,1,111,Bloomfield Hills,MI,12025,4926,65.58836%,180.6946
30305,99.33241,1,112,Atlanta,GA,17148,4424,69.3317%,173.9775
2482,99.3258,1,113,Wellesley,MA,6955,2688,71.04242%,170.9661
11724,99.32334,1,114,Cold Spring Harbor,NY,1994,859,66.14845%,179.0039
77094,99.32156,1,115,Houston,TX,4507,2179,73.97382%,164.4372
7842,99.32031,1,,Hibernia,NJ,47,24,68.0851%,174.3789
94707,99.31781,1,116,Berkeley,CA,9059,3332,79.97571%,153.7973
2110,99.31499,1,117,Boston,MA,1246,309,76.72552%,159.1598
20896,99.31451,1,,Garrett Park,MD,429,178,77.62238%,156.0267
19009,99.3144,1,,Bryn Athyn,PA,51,20,82.35294%,147.105
91108,99.31192,1,118,San Marino,CA,8927,3789,70.24756%,167.7952
19807,99.30789,1,119,Wilmington,DE,5755,2164,65.404%,176.0853
10023,99.29218,1,120,New York,NY,51494,11604,73.32311%,162.0156
20036,99.27712,1,121,Washington,DC,3352,374,83.74105%,143.8242
1451,99.2753,1,122,Harvard,MA,3313,1457,75.8527%,157.0009
7920,99.26969,1,123,Basking Ridge,NJ,17129,6477,66.85737%,172.1037
60611,99.25861,1,124,Chicago,IL,23272,5584,73.46167%,160.4883
2459,99.24898,1,125,Newton Center,MA,11790,4518,73.5369%,160.147
19066,99.24465,1,126,Merion Station,PA,3951,1526,76.68945%,154.3151
60091,99.2386,1,127,Wilmette,IL,18124,7640,72.88678%,160.5654
66211,99.23294,1,128,Leawood,KS,2465,971,66.65314%,170.9177
48301,99.22941,1,129,Bloomfield Hills,MI,10413,4460,68.28964%,167.7311
77024,99.22011,1,130,Houston,TX,23477,9133,68.02402%,167.6866
60606,99.21332,1,131,Chicago,IL,1273,350,80.59701%,145.9438
63131,99.20985,1,132,Saint Louis,MO,11381,4971,67.84993%,167.5166
90274,99.20181,1,133,Palos Verdes Peninsula,CA,17933,7617,66.20755%,170.2979
19041,99.19572,1,134,Haverford,PA,4241,1422,73.1667%,158.2798
6903,99.1918,1,135,Stamford,CT,10066,4222,68.31909%,166.3712
19421,99.18901,1,,Birchrunville,PA,62,33,75.80645%,153.4351
6831,99.18604,1,136,Greenwich,CT,10758,4109,56.83212%,185.2621
22181,99.18039,1,137,Vienna,VA,9842,4085,68.49217%,165.1355
35223,99.17561,1,138,Birmingham,AL,7558,3249,74.47737%,154.6564
6490,99.17271,1,139,Southport,CT,3002,1164,61.72552%,176.5561
94705,99.16934,1,140,Berkeley,CA,9252,2626,76.35106%,151.1991
11797,99.16505,1,141,Woodbury,NY,6411,2317,58.00967%,182.5436
7458,99.16124,1,142,Saddle River,NJ,7482,3207,60.10425%,178.9268
20004,99.15899,1,143,Washington,DC,674,118,68.9911%,163.45
92625,99.15588,1,144,Corona del Mar,CA,10728,3493,64.70917%,170.4104
11020,99.15217,1,145,Great Neck,NY,2773,1178,67.21961%,166.0482
20194,99.14893,1,146,Reston,VA,9042,3437,75.02765%,152.3524
22957,99.14643,1,,Montpelier Station,VA,28,14,57.14286%,183.064
35649,99.14642,1,,Mooresville,AL,46,17,60.86956%,176.6306
6877,99.14211,1,147,Ridgefield,CT,15682,6638,65.88445%,167.1361
7928,99.13438,1,148,Chatham,NJ,12420,5073,66.87601%,165.3892
10526,99.13068,1,149,Goldens Bridge,NY,1094,455,70.01828%,159.4004
10017,99.12652,1,150,New York,NY,14064,2742,73.99033%,152.3851
60305,99.12067,1,151,River Forest,IL,7237,2948,69.69739%,159.7299
10128,99.10585,1,152,New York,NY,46757,12049,73.82852%,152.0177
6612,99.09166,1,153,Easton,CT,4939,2079,59.54646%,176.5979
10527,99.09011,1,154,Granite Springs,NY,704,312,71.59091%,155.4841
37350,99.08952,1,155,Lookout Mountain,TN,1408,606,71.16477%,155.6815
94305,99.08792,1,156,Stanford,CA,4498,1300,94.48644%,115.4192
7417,99.08479,1,157,Franklin Lakes,NJ,6885,2952,52.94118%,186.8953
76092,99.07948,1,158,Southlake,TX,12412,5892,58.70931%,176.8934
11765,99.07595,1,,Mill Neck,NY,480,187,52.08333%,187.9767
12507,99.07578,1,,Barrytown,NY,170,11,68.82353%,159.0996
7979,99.07565,1,,Pottersville,NJ,260,137,66.92308%,162.3686
94941,99.06966,1,159,Mill Valley,CA,21599,7359,71.52646%,154.0889
66209,99.06036,1,160,Leawood,KS,12276,5289,67.61975%,160.5092
90266,99.05013,1,161,Manhattan Beach,CA,24974,8449,67.61032%,160.4229
20124,99.04073,1,162,Clifton,VA,9298,4075,65.43342%,162.8694
7620,99.03786,1,163,Alpine,NJ,1129,450,61.38175%,169.7984
98222,99.03754,1,,Blakely Island,WA,33,9,81.81818%,133.7204
7450,99.03304,1,164,Ridgewood,NJ,16407,6825,66.7459%,159.3284
75093,99.02061,1,165,Plano,TX,28861,11991,64.33249%,163.2552
94304,99.01231,1,166,Palo Alto,CA,1407,410,79.38877%,136.9737
10014,99.0041,1,167,New York,NY,28445,4763,74.38917%,145.5058
38139,98.9938,1,168,Germantown,TN,9077,4241,65.8147%,160.1039
18357,98.99128,1,,Skytop,PA,93,10,43.01075%,199.1972
7760,98.98946,1,169,Rumson,NJ,6554,2560,58.84956%,171.9023
48304,98.98427,1,170,Bloomfield Hills,MI,12380,4994,64.81422%,161.5095
94549,98.97626,1,171,Lafayette,CA,16806,6806,66.63691%,158.2915
2461,98.97039,1,172,Newton Highlands,MA,4538,1861,72.78537%,146.6643
22207,98.96333,1,173,Arlington,VA,21227,7606,70.52339%,150.4577
92091,98.95721,1,174,Rancho Santa Fe,CA,1044,430,70.59387%,149.6836
21210,98.95469,1,175,Baltimore,MD,8128,2461,74.38484%,142.9991
90743,98.95244,1,,Surfside,CA,109,44,66.97248%,155.6959
7930,98.95096,1,176,Chester,NJ,5264,2157,61.20821%,165.5382
8540,98.9418,1,177,Princeton,NJ,28123,10147,71.39352%,147.7614
60035,98.92835,1,178,Highland Park,IL,20830,8676,64.01824%,160.2503
92130,98.91756,1,179,San Diego,CA,18529,7503,72.95591%,144.7709
6269,98.91236,1,,Storrs Mansfield,CT,403,38,84.86353%,124.222
30326,98.91203,1,180,Atlanta,GA,838,177,76.37231%,138.8305
91011,98.90812,1,181,La Canada Flintridge,CA,13382,5847,63.66761%,160.3615
50323,98.9043,1,182,Urbandale,IA,561,255,54.72371%,175.6865
92014,98.90118,1,183,Del Mar,CA,10782,3875,71.39677%,146.9154
1772,98.89675,1,184,Southborough,MA,5343,2322,64.47688%,158.6694
95120,98.88841,1,185,San Jose,CA,25071,10867,60.87112%,164.8491
33146,98.87959,1,186,Miami,FL,7062,2701,67.78533%,152.7787
95480,98.87765,1,,Stewarts Point,CA,17,7,29.41177%,218.4294
94065,98.87546,1,187,Redwood City,CA,7967,2939,65.99724%,155.2827
1719,98.87241,1,188,Boxborough,MA,3115,1296,72.13483%,144.584
20814,98.86617,1,189,Bethesda,MD,19616,5903,75.42312%,138.5311
2492,98.85716,1,190,Needham,MA,13178,5330,68.94825%,149.4953
94556,98.8506,1,191,Moraga,CA,10725,4409,67.39394%,152.1105
1778,98.84517,1,192,Wayland,MA,9075,3754,68.48485%,150.0876
8858,98.84264,1,,Oldwick,NJ,138,63,58.69565%,166.9125
22213,98.84206,1,193,Arlington,VA,1943,690,74.11219%,140.3029
81656,98.84145,1,,Woody Creek,CO,286,70,65.03497%,155.9235
20862,98.8413,1,,Brinklow,MD,255,108,62.7451%,159.1611
2421,98.83808,1,194,Lexington,MA,11480,4564,68.78049%,148.61
93108,98.83241,1,195,Santa Barbara,CA,9129,3322,63.36948%,157.8835
7924,98.82852,1,196,Bernardsville,NJ,5102,2075,59.34927%,164.6961
22102,98.82337,1,197,McLean,VA,13684,4711,72.63958%,141.7635
94618,98.81625,1,198,Oakland,CA,12280,3694,74.08795%,139.2476
94904,98.81033,1,199,Greenbrae,CA,9273,3195,63.42068%,157.6233
7028,98.80645,1,200,Glen Ridge,NJ,4846,2042,64.54808%,155.148
22027,98.80481,1,201,Dunn Loring,VA,1125,394,63.73333%,155.9954
10536,98.8026,1,202,Katonah,NY,6951,2831,58.48079%,165.0283
1742,98.79735,1,203,Concord,MA,12102,4451,66.10478%,151.7509
59636,98.79404,1,,Fort Harrison,MT,24,6,70.83333%,143.4489
3750,98.79387,1,204,Etna,NH,600,255,77.33333%,131.6557
92660,98.78767,1,205,Newport Beach,CA,21992,7883,60.51746%,160.5602
78733,98.78012,1,206,Austin,TX,5472,2422,69.64547%,144.5931
77056,98.77555,1,207,Houston,TX,11213,3334,64.49656%,153.4652
77059,98.76967,1,208,Houston,TX,10253,4714,71.23769%,141.7608
1921,98.76546,1,209,Boxford,MA,5016,2253,62.81898%,156.2464
16155,98.76405,1,,Villa Maria,PA,122,5,18.85246%,231.9172
25866,98.76401,1,,Lochgelly,WV,37,12,56.75676%,166.4679
8502,98.76075,1,210,Belle Mead,NJ,11833,5331,61.18482%,158.8015
98040,98.75327,1,211,Mercer Island,WA,15424,6266,69.10011%,144.9213
94306,98.74417,1,212,Palo Alto,CA,17766,6148,72.7851%,138.5402
10706,98.73749,1,213,Hastings on Hudson,NY,6600,2522,63.60606%,154.2563
77027,98.73258,1,214,Houston,TX,11252,2926,69.52542%,143.9118
19437,98.72939,1,,Gwynedd Valley,PA,381,164,73.75328%,136.4467
92861,98.72816,1,215,Villa Park,CA,4117,1718,57.68763%,163.9417
33158,98.72584,1,216,Miami,FL,4298,1860,60.56305%,158.8289
60010,98.71727,1,217,Barrington,IL,26906,11661,59.09835%,161.2232
21029,98.70856,1,218,Clarksville,MD,4828,2128,64.16736%,152.4086
3755,98.70599,1,219,Hanover,NH,4570,1512,77.63676%,129.1817
2420,98.70203,1,220,Lexington,MA,9825,3910,69.34351%,143.2489
60015,98.6944,1,221,Deerfield,IL,17995,7509,66.11837%,148.6257
80016,98.68814,1,222,Aurora,CO,4746,2184,62.11547%,155.4828
66220,98.68657,1,223,Lenexa,KS,1024,460,62.40234%,154.068
12429,98.68627,1,,Esopus,NY,15,7,0%,261.5213
19072,98.68438,1,224,Narberth,PA,6883,2571,71.20442%,138.6801
94939,98.68105,1,225,Larkspur,CA,5264,1652,66.71733%,146.1688
30005,98.675,1,226,Alpharetta,GA,16794,7248,68.91152%,142.3506
2445,98.66527,1,227,Brookline,MA,18688,6199,75.24615%,131.385
10006,98.65981,1,228,New York,NY,1174,230,70.954%,138.7808
30306,98.65487,1,229,Atlanta,GA,16821,3614,74.12164%,133.1673
7901,98.64594,1,230,Summit,NJ,15710,6100,61.72501%,154.5021
1720,98.63803,1,231,Acton,MA,13148,5399,69.13599%,141.6876
90265,98.6308,1,232,Malibu,CA,13199,4697,58.99689%,159.0055
92602,98.62663,1,233,Irvine,CA,1935,804,64.13437%,149.8928
33480,98.62337,1,234,Palm Beach,FL,9997,3178,52.47574%,169.8115
90290,98.6195,1,235,Topanga,CA,4067,1319,60.97861%,154.9362
48009,98.61438,1,236,Birmingham,MI,14583,5119,67.13982%,144.257
94526,98.60411,1,237,Danville,CA,22822,9653,58.05363%,159.7417
2114,98.59532,1,238,Boston,MA,9223,1570,70.73621%,137.7975
22308,98.59038,1,239,Alexandria,VA,8804,3679,67.40118%,142.9429
63105,98.5852,1,240,Saint Louis,MO,10017,3022,70.30049%,137.9152
10501,98.58232,1,,Amawalk,NY,468,208,58.33333%,158.519
1467,98.58216,1,,Still River,MA,127,40,70.07874%,138.2264
7059,98.57956,1,241,Warren,NJ,9366,3917,58.25326%,158.5648
55424,98.57519,1,242,Minneapolis,MN,6541,2786,70.53967%,137.3843
10016,98.56199,1,243,New York,NY,41544,7973,68.79453%,140.1747
1740,98.54984,1,244,Bolton,MA,2768,1193,67.30492%,142.4852
10533,98.54768,1,245,Irvington,NY,5057,2067,61.24184%,152.912
19096,98.54367,1,246,Wynnewood,PA,9569,3694,65.20013%,146.0367
37215,98.53667,1,247,Nashville,TN,15933,5449,70.13118%,137.4549
64113,98.53004,1,248,Kansas City,MO,8230,3233,75.72296%,127.8127
20037,98.52589,1,249,Washington,DC,6882,1006,75.8791%,127.5276
78738,98.52341,1,250,Austin,TX,2135,892,63.23185%,149.273
7733,98.52002,1,251,Holmdel,NJ,10205,4262,55.67859%,162.2627
20171,98.51144,1,252,Herndon,VA,21066,9296,67.317%,142.1793
11753,98.50344,1,253,Jericho,NY,8062,3391,61.2131%,152.3942
20777,98.50066,1,254,Highland,MD,2028,821,55.17752%,162.6968
20880,98.50002,1,,Washington Grove,MD,343,141,76.09329%,126.3979
45174,98.49956,1,255,Terrace Park,OH,1403,648,70.70563%,135.6727
10590,98.49787,1,256,South Salem,NY,4673,2057,62.40103%,149.7411
19025,98.49564,1,257,Dresher,PA,3492,1538,67.6976%,140.3395
19087,98.48898,1,258,Wayne,PA,20784,7760,68.75%,138.1872
6092,98.48254,1,259,West Simsbury,CT,2676,1236,65.80718%,143.1573
7934,98.48149,1,260,Gladstone,NJ,1115,466,59.73094%,153.4442
1718,98.48111,1,,Village of Nagog Woods,MA,302,117,76.82119%,123.9108
48374,98.47913,1,261,Novi,MI,6915,3225,58.95879%,154.5636
18977,98.4765,1,262,Washington Crossing,PA,2654,1138,64.46872%,145.0246
60558,98.4735,1,263,Western Springs,IL,8312,3724,65.94081%,142.3545
1890,98.46716,1,264,Winchester,MA,14800,5831,64.90541%,144.1315
10502,98.46217,1,265,Ardsley,NY,3313,1392,59.7042%,153.086
19333,98.45978,1,266,Devon,PA,5432,1853,71.6863%,132.4324
80111,98.4537,1,267,Englewood,CO,16688,7068,67.89909%,138.7808
76034,98.44569,1,268,Colleyville,TX,12535,5831,56.22656%,158.5844
31411,98.44061,1,269,Savannah,GA,5950,2709,67.10925%,139.602
7401,98.43779,1,270,Allendale,NJ,4359,1783,62.30787%,147.7549
19010,98.4328,1,271,Bryn Mawr,PA,13772,4756,63.81063%,145.0861
7946,98.42848,1,272,Millington,NJ,1975,836,58.93671%,153.4835
77382,98.42561,1,273,Spring,TX,8520,3973,65.16432%,142.65
48025,98.42044,1,274,Franklin,MI,10294,4187,64.80474%,142.9377
10570,98.41544,1,275,Pleasantville,NY,7898,3236,59.78729%,151.3233
75024,98.40967,1,276,Plano,TX,13147,5265,66.65399%,139.4608
95014,98.39587,1,277,Cupertino,CA,37092,14705,65.03019%,142.242
60069,98.38433,1,278,Lincolnshire,IL,4974,2088,57.59951%,154.9336
8836,98.38225,1,279,Martinsville,NJ,2650,1156,55.62264%,157.6939
3233,98.38146,1,,Elkins,NH,175,69,72.57143%,128.4665
90254,98.37722,1,280,Hermosa Beach,CA,15300,3666,67.61438%,136.8416
55439,98.37129,1,281,Minneapolis,MN,6307,2671,66.57682%,138.5991
60192,98.36923,1,282,Hoffman Estates,IL,1177,487,57.26423%,154.6302
95041,98.3689,1,,Mount Hermon,CA,43,19,86.04651%,104.9127
7090,98.36279,1,283,Westfield,NJ,22217,9097,61.92555%,146.3662
11023,98.35509,1,284,Great Neck,NY,5835,2407,62.05655%,146.1204
94611,98.34581,1,285,Oakland,CA,27962,8935,66.80853%,137.906
48323,98.33481,1,286,West Bloomfield,MI,12129,5236,58.11691%,152.8493
45384,98.33145,1,,Wilberforce,OH,123,51,82.11382%,111.3461
66224,98.33035,1,287,Overland Park,KS,3816,1783,66.90252%,137.5294
60564,98.3243,1,288,Naperville,IL,18258,8483,62.17%,145.5973
91105,98.317,1,289,Pasadena,CA,8304,2702,63.23459%,143.7196
91436,98.31201,1,290,Encino,CA,9912,3942,56.76957%,154.6315
7670,98.30677,1,291,Tenafly,NJ,9173,3881,62.14979%,145.1815
33149,98.30222,1,292,Key Biscayne,FL,7448,2943,64.90333%,140.3356
44022,98.29675,1,293,Chagrin Falls,OH,12439,5156,63.78326%,142.259
2446,98.28738,1,294,Brookline,MA,21701,5839,78.24524%,117.157
6896,98.27987,1,295,Redding,CT,5655,2416,63.0946%,143.2424
48070,98.27714,1,296,Huntington Woods,MI,4328,1816,72.36599%,127.1066
78732,98.27521,1,297,Austin,TX,2710,1082,65.20295%,139.4307
7869,98.27005,1,298,Randolph,NJ,16078,6741,59.05585%,149.9438
7481,98.26258,1,299,Wyckoff,NJ,11122,4656,56.6265%,154.119
11024,98.25826,1,300,Great Neck,NY,4608,1841,52.10503%,161.8469
20197,98.25678,1,301,Waterford,VA,751,330,53.12916%,160.0555
93953,98.25553,1,302,Pebble Beach,CA,3823,1472,60.60686%,147.0122
66213,98.24994,1,303,Overland Park,KS,16535,6939,66.85818%,136.1643
53122,98.24416,1,304,Elm Grove,WI,4502,1829,64.88227%,139.4961
48306,98.23888,1,305,Rochester,MI,14786,6649,59.04233%,149.3763
6525,98.23312,1,306,Woodbridge,CT,6139,2633,60.88939%,146.0968
7452,98.22934,1,307,Glen Rock,NJ,7714,3315,61.08375%,145.5097
46814,98.22585,1,308,Fort Wayne,IN,4967,2284,56.51299%,153.2847
2116,98.2205,1,309,Boston,MA,14520,3085,69.6281%,130.5678
77030,98.21427,1,310,Houston,TX,8193,2515,75.69877%,120.0573
18035,98.21201,1,,Cherryville,PA,47,21,74.46808%,122.0409
78731,98.20721,1,311,Austin,TX,17444,5967,71.14767%,127.6714
75022,98.20007,1,312,Flower Mound,TX,8552,3895,58.33723%,149.6352
2467,98.1961,1,313,Chestnut Hill,MA,5916,2090,73.4449%,123.5944
11577,98.19218,1,314,Roslyn Heights,NY,8349,3396,57.51587%,150.9925
7704,98.18887,1,315,Fair Haven,NJ,3747,1651,61.75607%,143.5222
40059,98.1858,1,316,Prospect,KY,7391,3248,61.72372%,143.4607
78257,98.18333,1,317,San Antonio,TX,1632,704,44.54657%,173.0452
4110,98.18264,1,318,Cumberland Foreside,ME,856,386,62.61683%,141.8236
19312,98.18027,1,319,Berwyn,PA,7785,3136,61.36159%,143.9445
10010,98.17231,1,320,New York,NY,21221,4819,71.22661%,126.9
6001,98.16338,1,321,Avon,CT,11327,4509,62.01995%,142.6879
7627,98.15937,1,322,Demarest,NJ,3251,1393,58.93571%,147.9471
2052,98.15637,1,323,Medfield,MA,7702,3316,62.10075%,142.4316
20148,98.1536,1,324,Ashburn,VA,2347,1067,60.84363%,144.5395
48331,98.14874,1,325,Farmington,MI,15442,6426,61.8508%,142.7703
